,u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,startpoint,endpoint,Filename,Date,Time
104,1651345180,3828812966,10000,654022220,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,21.825,40,"LINESTRING (104.8855059 11.563572, 104.8853214 11.5634955)","(11.563572, 104.8855059)","(11.5634955, 104.8853214)",01-Sep-23 8.35 AM - 20240115193257.png,01-Sep-23,8:35 AM
105,1651345180,7334959787,10000,654022220,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,123.12299999999999,40,"LINESTRING (104.8864268 11.5642109, 104.8857389 11.5637027, 104.8856407 11.5636424, 104.8855059 11.563572)","(11.5642109, 104.8864268)","(11.563572, 104.8855059)",01-Sep-23 8.35 AM - 20240115193310.png,01-Sep-23,8:35 AM
106,1745072621,10184986871,10000,916400502,1,4,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,15.149,40,"LINESTRING (104.8324844 11.53764, 104.8323973 11.5375338)","(11.53764, 104.8324844)","(11.5375338, 104.8323973)",01-Sep-23 8.35 AM - 20240115193315.png,01-Sep-23,8:35 AM
107,1745072621,6262965272,10000,916400502,1,4,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,160.499,40,"LINESTRING (104.8334322 11.538745, 104.8324844 11.53764)","(11.538745, 104.8334322)","(11.53764, 104.8324844)",01-Sep-23 8.35 AM - 20240115193319.png,01-Sep-23,8:35 AM
108,1745072667,8248760499,10000,"[670960322, 916400502]",1,"['4', '2']",4,មហាវិថី សហព័ន្ធរុស្ស៊ី,"['trunk_link', 'trunk']",False,45.101,40,"LINESTRING (104.8315643 11.5365312, 104.8314386 11.5363818, 104.8313009 11.5362183)","(11.5365312, 104.8315643)","(11.5362183, 104.8313009)",01-Sep-23 8.35 AM - 20240115193325.png,01-Sep-23,8:35 AM
109,1745072667,6262965270,10000,916400502,1,4,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,71.624,40,"LINESTRING (104.8319825 11.5370282, 104.8315643 11.5365312)","(11.5370282, 104.8319825)","(11.5365312, 104.8315643)",01-Sep-23 8.35 AM - 20240115193329.png,01-Sep-23,8:35 AM
110,1765785971,8736749640,10000,654022220,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,33.528,40,"LINESTRING (104.8848222 11.5633681, 104.8845169 11.56333)","(11.5633681, 104.8848222)","(11.56333, 104.8845169)",01-Sep-23 8.35 AM - 20240115193334.png,01-Sep-23,8:35 AM
111,1765785971,3828812966,10000,654022220,1,3,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,56.32299999999999,40,"LINESTRING (104.8853214 11.5634955, 104.8851855 11.5634494, 104.8850328 11.5634052, 104.8848222 11.5633681)","(11.5634955, 104.8853214)","(11.5633681, 104.8848222)",01-Sep-23 8.35 AM - 20240115193338.png,01-Sep-23,8:35 AM
112,1773376780,1795663219,10000,683537415,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,67.71,40,"LINESTRING (104.9198212 11.5613372, 104.9197458 11.5618374, 104.9197304 11.5619396)","(11.5613372, 104.9198212)","(11.5619396, 104.9197304)",01-Sep-23 8.35 AM - 20240115193343.png,01-Sep-23,8:35 AM
113,1773376780,3765642157,10000,683537415,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,64.947,40,"LINESTRING (104.9199084 11.5607594, 104.9198212 11.5613372)","(11.5607594, 104.9199084)","(11.5613372, 104.9198212)",01-Sep-23 8.35 AM - 20240115193347.png,01-Sep-23,8:35 AM
114,1792694547,6125067429,10000,653579783,0,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,67.202,40,"LINESTRING (104.9180893 11.5724281, 104.9179973 11.5730257)","(11.5724281, 104.9180893)","(11.5730257, 104.9179973)",01-Sep-23 8.35 AM - 20240115193352.png,01-Sep-23,8:35 AM
115,1792694547,6106841957,10000,656560015,0,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,True,71.455,40,"LINESTRING (104.9179 11.5736612, 104.9179973 11.5730257)","(11.5736612, 104.9179)","(11.5730257, 104.9179973)",01-Sep-23 8.35 AM - 20240115193357.png,01-Sep-23,8:35 AM
116,1795662726,6097040541,10000,1160247620,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,94.704,40,"LINESTRING (104.9204108 11.5567784, 104.9205382 11.5559359)","(11.5567784, 104.9204108)","(11.5559359, 104.9205382)",01-Sep-23 8.35 AM - 20240115193402.png,01-Sep-23,8:35 AM
117,1795662726,1795662749,10000,1160247620,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,50.203,40,"LINESTRING (104.9203432 11.557225, 104.9204108 11.5567784)","(11.557225, 104.9203432)","(11.5567784, 104.9204108)",01-Sep-23 8.35 AM - 20240115193407.png,01-Sep-23,8:35 AM
