start_lat,start_lon,end_lat,end_lon,time,dt,distance,aver_speed
11.55544,104.91297,11.55302,104.88379,1689171101,802,3482.745196,4.342575057
11.58157,104.89738,11.58306,104.89419,1689157425,203,409.9901437,2.01965588
11.5846,104.91152,11.59026,104.88194,1689129368,751,4230.252866,5.632826719
11.54808,104.92196,11.5581,104.91575,1689144316,613,1743.074544,2.843514754
11.58055,104.90006,11.55453,104.92027,1689178250,530,4786.009239,9.030206112
11.55878,104.92537,11.55394,104.91858,1689136431,436,1518.677509,3.483205296
11.53031,104.87381,11.52511,104.87631,1689116336,414,648.7685239,1.567073729
11.5464,104.89675,11.55526,104.90818,1689119065,315,1604.917896,5.094977449
11.60919,104.86917,11.59852,104.88328,1689134803,438,2818.450868,6.434819333
11.53273,104.83235,11.50174,104.81867,1689158032,375,12866.01119,34.30936318
11.57413,104.88211,11.59625,104.87544,1689158964,920,2974.067725,3.23268231
11.53478,104.88454,11.52225,104.88389,1689159448,643,2289.065737,3.559977818
11.50388,104.98982,11.47328,104.97904,1689121987,967,4131.918371,4.272924892
11.67191,104.79345,11.66969,104.8028,1689139783,292,1047.676783,3.587934187
11.55164,104.7913,11.55076,104.78459,1689150582,700,1709.633938,2.442334197
11.56127,104.91432,11.62064,104.89169,1689134014,2476,8028.155825,3.242389267
11.55406,104.93227,11.55877,104.9245,1689171369,591,1005.925615,1.702073798
11.54267,104.92179,11.54798,104.90907,1689137285,732,1583.662365,2.163473176
11.56062,104.85286,11.56262,104.86592,1689138235,409,1440.018214,3.520826929
11.55249,104.9224,11.55757,104.92028,1689177140,272,630.0497517,2.316359381
11.57032,104.9205,11.57083,104.90874,1689151894,653,1282.335105,1.963759732
11.53645,104.97187,11.52827,104.96346,1689153763,678,1938.735285,2.859491571
11.54327,104.9102,11.5383,104.9142,1689126888,396,712.5399507,1.79934331
11.46032,104.888,11.45757,104.87303,1689145209,437,1659.821086,3.798217589
11.53328,104.83181,11.54757,104.836,1689158380,318,3660.762452,11.51183161
11.56834,104.90014,11.53544,104.8861,1689143147,1498,10476.17386,6.993440497
11.63212,104.84674,11.64242,104.84856,1689140354,295,1162.335044,3.940118792
11.53976,104.89188,11.54168,104.9083,1689150195,376,1801.604717,4.791501908
11.54501,104.90592,11.54991,104.92468,1689164279,1159,2982.934915,2.573714335
11.56237,104.89003,11.53807,104.87454,1689144461,864,4088.14147,4.73164522
11.58344,104.89824,11.56648,104.88243,1689157344,1616,3487.100299,2.157859096
11.52555,104.88779,11.53962,104.89006,1689155895,367,1583.942014,4.315918295
11.58195,104.88787,11.61165,104.884,1689162665,691,3681.421107,5.327671645
11.55405,104.83814,11.53856,104.81934,1689126814,636,2860.718555,4.497985149
11.5044,104.88997,11.5155,104.88287,1689140377,714,1843.855618,2.582430838
11.53329,104.92942,11.54425,104.92731,1689104685,490,1270.223009,2.592291854
11.57012,104.90355,11.58656,104.90559,1689166438,1574,2361.620244,1.500394056
11.53081,104.94377,11.53273,104.958,1689165859,320,1769.384511,5.529326598
11.59924,104.87469,11.59908,104.86284,1689151133,1483,2746.069172,1.8516987
11.6625,104.87437,11.65194,104.88437,1689144946,1487,3867.190949,2.600666408
11.54027,104.9014,11.54416,104.89501,1689140315,312,864.6090062,2.771182712
11.58791,104.92523,11.58746,104.91933,1689101254,311,644.6546624,2.072844574
11.56807,104.92112,11.57368,104.92117,1689138378,506,1521.91144,3.007730119
11.57986,104.91852,11.58157,104.91326,1689160528,417,1683.805497,4.03790287
11.55592,104.92847,11.56451,104.92438,1689154538,478,1733.908148,3.627422904
11.54426,104.92811,11.51339,104.89267,1689149660,1353,6894.978583,5.09606695
11.53934,104.9282,11.56215,104.9153,1689141706,1448,3195.483248,2.206825448
11.55856,104.84172,11.56936,104.8389,1689144398,824,1241.079096,1.506163952
11.5626,104.87641,11.57066,104.90886,1689137453,472,12179.06583,25.80310558
11.55684,104.87601,11.55584,104.89464,1689142376,1090,2582.56421,2.369324963
11.56759,104.89909,11.554,104.90185,1689161070,945,1581.3843,1.673422539
11.51282,104.88663,11.52201,104.86779,1689149464,753,2314.145382,3.073234239
